model_name,split,threshold,precision,recall,f1,specificity,approval_rate,true_negative,false_positive,false_negative,true_positive,default_loss_exposure,rejected_good_ead,opportunity_cost_rate_assumption,total_cost_proxy
Logistic Regression,validation,0.71,0.5641025641025641,0.1925601750547046,0.2871125611745513,0.9866849422361464,0.97196261682243,5039,68,369,88,697943594.8409649,157923409.6,0.02,701102063.032965
Logistic Regression,validation,0.72,0.5899280575539568,0.1794310722100656,0.2751677852348993,0.9888388486391227,0.975017972681524,5050,57,375,82,714295075.844499,128401817.59000002,0.02,716863112.196299
Logistic Regression,validation,0.73,0.5901639344262295,0.1575492341356674,0.2487046632124352,0.9902095163501076,0.9780733285406182,5057,50,385,72,736365777.417079,114559402.54,0.02,738656965.4678789
Logistic Regression,validation,0.74,0.6146788990825688,0.1466083150984682,0.2367491166077738,0.9917759937340904,0.9804097771387492,5065,42,390,67,739096847.59274,83834913.22,0.02,740773545.8571401
Logistic Regression,validation,0.75,0.6382978723404256,0.1312910284463894,0.2177858439201452,0.9933424711180732,0.9831056793673616,5073,34,397,60,759422413.547188,74964526.48,0.02,760921704.0767881
Logistic Regression,validation,0.76,0.686046511627907,0.1291028446389496,0.2173112338858195,0.9947131388290582,0.9845434938892884,5080,27,398,59,760236696.4785931,70639187.95,0.02,761649480.237593
Logistic Regression,validation,0.77,0.6794871794871795,0.1159737417943107,0.1981308411214953,0.9951047581750538,0.985981308411215,5082,25,404,53,763401679.858244,66562796.84,0.02,764732935.795044
Logistic Regression,validation,0.78,0.671875,0.0940919037199124,0.165067178502879,0.9958879968670452,0.9884974838245866,5086,21,414,43,783822240.151818,54398747.62,0.02,784910215.104218
Logistic Regression,validation,0.79,0.6842105263157895,0.0853391684901531,0.1517509727626459,0.9964754258860388,0.9897555715312724,5089,18,418,39,791985540.9576089,33985514.739999995,0.02,792665251.252409
Logistic Regression,validation,0.8,0.7045454545454546,0.0678336980306345,0.12375249500998,0.997454474251028,0.9920920201294032,5094,13,426,31,806677736.18195,28293149.35,0.02,807243599.16895
Logistic Regression,validation,0.81,0.7142857142857143,0.0547045951859956,0.1016260162601626,0.9980419032700216,0.9937095614665707,5097,10,432,25,814473305.209842,18913334.36,0.02,814851571.8970419
Logistic Regression,validation,0.82,0.6875,0.0481400437636761,0.0899795501022494,0.9980419032700216,0.9942487419122932,5097,10,435,22,815181816.0769949,18913334.36,0.02,815560082.7641948
Logistic Regression,validation,0.83,0.6774193548387096,0.0459518599562363,0.0860655737704918,0.9980419032700216,0.994428468727534,5097,10,436,21,816920283.02517,18913334.36,0.02,817298549.7123699
Logistic Regression,validation,0.84,0.6666666666666666,0.0437636761487965,0.082135523613963,0.9980419032700216,0.994608195542775,5097,10,437,20,816947491.2241111,18913334.36,0.02,817325757.911311
Logistic Regression,validation,0.85,0.6666666666666666,0.0393873085339168,0.0743801652892562,0.9982377129430194,0.9951473759884976,5098,9,439,18,817402151.467732,15637766.54,0.02,817714906.798532
Logistic Regression,validation,0.86,0.7368421052631579,0.0306345733041575,0.0588235294117647,0.9990209516350108,0.9965851905104242,5102,5,443,14,818137137.657342,7626947.300000001,0.02,818289676.6033419
Logistic Regression,validation,0.87,0.8,0.0262582056892779,0.0508474576271186,0.9994125709810064,0.9973040977713876,5104,3,445,12,820511639.9798648,6801181.17,0.02,820647663.6032648
Logistic Regression,validation,0.88,0.8,0.0262582056892779,0.0508474576271186,0.9994125709810064,0.9973040977713876,5104,3,445,12,820511639.9798648,6801181.17,0.02,820647663.6032648
Logistic Regression,validation,0.89,1.0,0.0175054704595186,0.0344086021505376,1.0,0.9985621854780732,5107,0,449,8,826535689.9048419,0.0,0.02,826535689.9048419
Logistic Regression,validation,0.9,1.0,0.0109409190371991,0.0216450216450216,1.0,0.9991013659237958,5107,0,452,5,844565622.679045,0.0,0.02,844565622.679045
Logistic Regression,validation,0.91,1.0,0.0087527352297593,0.0173535791757049,1.0,0.9992810927390366,5107,0,453,4,844805614.158469,0.0,0.02,844805614.158469
Logistic Regression,validation,0.92,1.0,0.0021881838074398,0.0043668122270742,1.0,0.9998202731847592,5107,0,456,1,853894863.810674,0.0,0.02,853894863.810674
Logistic Regression,validation,0.93,0.0,0.0,0.0,1.0,1.0,5107,0,457,0,855051867.519174,0.0,0.02,855051867.519174
Logistic Regression,validation,0.94,0.0,0.0,0.0,1.0,1.0,5107,0,457,0,855051867.519174,0.0,0.02,855051867.519174
Logistic Regression,validation,0.95,0.0,0.0,0.0,1.0,1.0,5107,0,457,0,855051867.519174,0.0,0.02,855051867.519174
Logistic Regression,validation,0.96,0.0,0.0,0.0,1.0,1.0,5107,0,457,0,855051867.519174,0.0,0.02,855051867.519174
Logistic Regression,validation,0.97,0.0,0.0,0.0,1.0,1.0,5107,0,457,0,855051867.519174,0.0,0.02,855051867.519174
Logistic Regression,validation,0.98,0.0,0.0,0.0,1.0,1.0,5107,0,457,0,855051867.519174,0.0,0.02,855051867.519174
Logistic Regression,validation,0.99,0.0,0.0,0.0,1.0,1.0,5107,0,457,0,855051867.519174,0.0,0.02,855051867.519174
Logistic Regression,test,0.01,0.078089735487948,1.0,0.1448668564729526,0.0,0.0,0,10212,0,865,0.0,33549965490.73,0.02,670999309.8146
Logistic Regression,test,0.02,0.078089735487948,1.0,0.1448668564729526,0.0,0.0,0,10212,0,865,0.0,33549965490.73,0.02,670999309.8146
Logistic Regression,test,0.03,0.078089735487948,1.0,0.1448668564729526,0.0,0.0,0,10212,0,865,0.0,33549965490.73,0.02,670999309.8146
Logistic Regression,test,0.04,0.078089735487948,1.0,0.1448668564729526,0.0,0.0,0,10212,0,865,0.0,33549965490.73,0.02,670999309.8146
Logistic Regression,test,0.05,0.078089735487948,1.0,0.1448668564729526,0.0,0.0,0,10212,0,865,0.0,33549965490.73,0.02,670999309.8146
Logistic Regression,test,0.06,0.078089735487948,1.0,0.1448668564729526,0.0,0.0,0,10212,0,865,0.0,33549965490.73,0.02,670999309.8146
Logistic Regression,test,0.07,0.078089735487948,1.0,0.1448668564729526,0.0,0.0,0,10212,0,865,0.0,33549965490.73,0.02,670999309.8146
Logistic Regression,test,0.08,0.078089735487948,1.0,0.1448668564729526,0.0,0.0,0,10212,0,865,0.0,33549965490.73,0.02,670999309.8146
Logistic Regression,test,0.09,0.0781532345500542,1.0,0.1449761166513031,0.0008813160987074,0.000812494357678,9,10203,0,865,0.0,33510840713.370003,0.02,670216814.2674
Logistic Regression,test,0.1,0.0782734594154375,1.0,0.1451829472977509,0.0025460242851547,0.002347205922181,26,10186,0,865,0.0,33444337759.29,0.02,668886755.1858001
Logistic Regression,test,0.11,0.0784171355962969,0.998843930635838,0.1454178237818732,0.0056795926361143,0.005326351900334,58,10154,1,864,800031.4169599998,33334796552.86,0.02,667495962.4741601
